1	GO:0000001	biological process	mitochondrion inheritance
2	GO:0000002	biological process	mitochondrial genome maintenance
3	GO:0000003	biological process	reproduction
4	GO:0019952	biological process	reproduction
5	GO:0050876	biological process	reproduction
6	GO:0000005	molecular function	obsolete ribosomal chaperone activity
7	GO:0000006	molecular function	high-affinity zinc transmembrane transporter activity
8	GO:0000007	molecular function	low-affinity zinc ion transmembrane transporter activity
9	GO:0000008	molecular function	obsolete thioredoxin
10	GO:0000013	molecular function	obsolete thioredoxin
11	GO:0000009	molecular function	alpha-1,6-mannosyltransferase activity
12	GO:0000010	molecular function	trans-hexaprenyltranstransferase activity
13	GO:0036422	molecular function	trans-hexaprenyltranstransferase activity
14	GO:0000011	biological process	vacuole inheritance
15	GO:0000012	biological process	single strand break repair
16	GO:0000014	molecular function	single-stranded DNA endodeoxyribonuclease activity
17	GO:0000015	cellular component	phosphopyruvate hydratase complex
18	GO:0000016	molecular function	lactase activity
19	GO:0000017	biological process	alpha-glucoside transport
20	GO:0000018	biological process	regulation of DNA recombination
21	GO:0000019	biological process	regulation of mitotic recombination
22	GO:0000020	biological process	obsolete negative regulation of recombination within rDNA repeats
23	GO:0000022	biological process	mitotic spindle elongation
24	GO:1905121	biological process	mitotic spindle elongation
25	GO:0000023	biological process	maltose metabolic process
26	GO:0000024	biological process	maltose biosynthetic process
27	GO:0000025	biological process	maltose catabolic process
28	GO:0000026	molecular function	alpha-1,2-mannosyltransferase activity
29	GO:0000027	biological process	ribosomal large subunit assembly
30	GO:0000028	biological process	ribosomal small subunit assembly
31	GO:0000030	molecular function	mannosyltransferase activity
32	GO:0000031	molecular function	mannosylphosphate transferase activity
33	GO:0000032	biological process	cell wall mannoprotein biosynthetic process
34	GO:0000033	molecular function	alpha-1,3-mannosyltransferase activity
35	GO:0000034	molecular function	adenine deaminase activity
36	GO:0000035	molecular function	acyl binding
37	GO:0000036	molecular function	acyl carrier activity
38	GO:0000038	biological process	very long-chain fatty acid metabolic process
39	GO:0000039	molecular function	obsolete plasma membrane long-chain fatty acid transporter
40	GO:0000041	biological process	transition metal ion transport
41	GO:0000044	biological process	obsolete ascorbate stabilization
42	GO:0000045	biological process	autophagosome assembly
43	GO:0000047	molecular function	obsolete Rieske iron-sulfur protein
44	GO:0000048	molecular function	peptidyltransferase activity
45	GO:0000049	molecular function	tRNA binding
46	GO:0000946	molecular function	tRNA binding
47	GO:0000050	biological process	urea cycle
48	GO:0006594	biological process	urea cycle
49	GO:0006871	biological process	urea cycle
50	GO:0000051	biological process	obsolete urea cycle intermediate metabolic process
51	GO:0000052	biological process	citrulline metabolic process
52	GO:0000053	biological process	argininosuccinate metabolic process
53	GO:0000054	biological process	ribosomal subunit export from nucleus
54	GO:0000055	biological process	ribosomal large subunit export from nucleus
55	GO:0000057	biological process	ribosomal large subunit export from nucleus
56	GO:0000056	biological process	ribosomal small subunit export from nucleus
57	GO:0000058	biological process	ribosomal small subunit export from nucleus
58	GO:0000059	biological process	obsolete protein import into nucleus, docking
59	GO:0000060	biological process	obsolete protein import into nucleus, translocation
60	GO:0000061	biological process	obsolete protein import into nucleus, substrate release
61	GO:0000062	molecular function	fatty-acyl-CoA binding
62	GO:0000064	molecular function	L-ornithine transmembrane transporter activity
63	GO:0000067	biological process	obsolete DNA replication and chromosome cycle
64	GO:0000070	biological process	mitotic sister chromatid segregation
65	GO:0016359	biological process	mitotic sister chromatid segregation
66	GO:0000072	biological process	obsolete M phase specific microtubule process
67	GO:0000073	biological process	initial mitotic spindle pole body separation
68	GO:0030475	biological process	initial mitotic spindle pole body separation
69	GO:0000075	biological process	cell cycle checkpoint signaling
70	GO:0031576	biological process	cell cycle checkpoint signaling
71	GO:0071779	biological process	cell cycle checkpoint signaling
72	GO:0072395	biological process	cell cycle checkpoint signaling
73	GO:0072404	biological process	cell cycle checkpoint signaling
74	GO:0072407	biological process	cell cycle checkpoint signaling
75	GO:0000076	biological process	DNA replication checkpoint signaling
76	GO:0072437	biological process	DNA replication checkpoint signaling
77	GO:0000077	biological process	DNA damage checkpoint signaling
78	GO:0072422	biological process	DNA damage checkpoint signaling
79	GO:0000078	biological process	obsolete cytokinesis after mitosis checkpoint
80	GO:0000079	biological process	regulation of cyclin-dependent protein serine/threonine kinase activity
81	GO:0000080	biological process	mitotic G1 phase
82	GO:0000082	biological process	G1/S transition of mitotic cell cycle
83	GO:0000083	biological process	obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle
84	GO:0000084	biological process	mitotic S phase
85	GO:0000085	biological process	mitotic G2 phase
86	GO:0000086	biological process	G2/M transition of mitotic cell cycle
87	GO:0000087	biological process	mitotic M phase
88	GO:0000088	biological process	mitotic prophase
89	GO:0000089	biological process	mitotic metaphase
90	GO:0000090	biological process	mitotic anaphase
91	GO:0000091	biological process	mitotic anaphase A
92	GO:0000092	biological process	mitotic anaphase B
93	GO:0000093	biological process	mitotic telophase
