1	IPR000126	Active_site	Serine proteases, V8 family, serine active site
2	IPR000138	Active_site	Hydroxymethylglutaryl-CoA lyase, active site
3	IPR000169	Active_site	Cysteine peptidase, cysteine active site
4	IPR000180	Active_site	Membrane dipeptidase, active site
5	IPR000189	Active_site	Prokaryotic transglycosylase, active site
6	IPR000590	Active_site	Hydroxymethylglutaryl-coenzyme A synthase, active site
7	IPR001252	Active_site	Malate dehydrogenase, active site
8	IPR001345	Active_site	Phosphoglycerate/bisphosphoglycerate mutase, active site
9	IPR001497	Active_site	Methylated-DNA-[protein]-cysteine S-methyltransferase, active site
10	IPR001555	Active_site	Phosphoribosylglycinamide formyltransferase, active site
11	IPR001579	Active_site	Glycosyl hydrolases family 18 (GH18) active site
12	IPR001586	Active_site	Beta-lactamase, class-C active site
13	IPR001969	Active_site	Aspartic peptidase, active site
14	IPR002071	Active_site	Thermonuclease active site
15	IPR002137	Active_site	Beta-lactamase, class-D active site
16	IPR002168	Active_site	Lipase, GDXG, putative histidine active site
17	IPR002471	Active_site	Peptidase S9, serine active site
18	IPR004164	Active_site	Coenzyme A transferase active site
19	IPR006650	Active_site	Adenosine/AMP deaminase active site
20	IPR008255	Active_site	Pyridine nucleotide-disulphide oxidoreductase, class-II, active site
21	IPR008259	Active_site	FMN-dependent alpha-hydroxy acid dehydrogenase, active site
22	IPR008261	Active_site	Iodothyronine deiodinase, active site
23	IPR008263	Active_site	Glycoside hydrolase, family 16, active site
24	IPR008265	Active_site	Lipase, GDSL, active site
25	IPR008266	Active_site	Tyrosine-protein kinase, active site
26	IPR008268	Active_site	Peptidase S16, active site
27	IPR008270	Active_site	Glycosyl hydrolases family 25, active site
28	IPR008271	Active_site	Serine/threonine-protein kinase, active site
29	IPR008272	Active_site	4-hydroxybenzoyl-CoA thioesterase, active site
30	IPR011767	Active_site	Glutaredoxin active site
31	IPR012999	Active_site	Pyridine nucleotide-disulphide oxidoreductase, class I, active site
32	IPR013808	Active_site	Transglutaminase, active site
33	IPR016129	Active_site	Peptidase family C14A, His active site
34	IPR016130	Active_site	Protein-tyrosine phosphatase, active site
35	IPR017440	Active_site	ATP-citrate lyase/succinyl-CoA ligase, active site
36	IPR017950	Active_site	Urease active site
37	IPR018040	Active_site	Pectinesterase, Tyr active site
38	IPR018053	Active_site	Glycoside hydrolase, family 32, active site
39	IPR018057	Active_site	Deoxyribonuclease I, active site
40	IPR018085	Active_site	Uracil-DNA glycosylase, active site
41	IPR018088	Active_site	Chalcone/stilbene synthase, active site
42	IPR018089	Active_site	Orotidine 5'-phosphate decarboxylase, active site
43	IPR018114	Active_site	Serine proteases, trypsin family, histidine active site
44	IPR018117	Active_site	DNA methylase, C-5 cytosine-specific, active site
45	IPR018120	Active_site	Glycoside hydrolase family 1, active site
46	IPR018129	Active_site	Phosphoenolpyruvate carboxylase, Lys active site
47	IPR018148	Active_site	Methylglyoxal synthase, active site
48	IPR018177	Active_site	L-lactate dehydrogenase, active site
49	IPR018187	Active_site	Asp/Glu racemase, active site 1
50	IPR018188	Active_site	Ribonuclease T2, His active site 1
51	IPR018201	Active_site	Beta-ketoacyl synthase, active site
52	IPR018202	Active_site	Serine carboxypeptidase, serine active site
53	IPR018204	Active_site	Tryptophan synthase, alpha chain, active site
54	IPR018208	Active_site	Glycoside hydrolase family 11, active site 1
55	IPR018209	Active_site	Pyruvate kinase, active site
56	IPR018215	Active_site	ClpP, Ser active site
57	IPR018221	Active_site	Glycoside hydrolase family 9, His active site
58	IPR018225	Active_site	Transaldolase, active site
59	IPR018239	Active_site	NAD-dependent DNA ligase, active site
60	IPR018274	Active_site	PEP-utilising enzyme, active site
61	IPR018299	Active_site	Alkaline phosphatase, active site
62	IPR018372	Active_site	Chloramphenicol acetyltransferase, active site
63	IPR018508	Active_site	3-dehydroquinate dehydratase, active site
64	IPR018510	Active_site	Diaminopimelate epimerase, active site
65	IPR018521	Active_site	DNA topoisomerase I, active site
66	IPR018524	Active_site	DNA/RNA non-specific endonuclease, active site
67	IPR019756	Active_site	Peptidase S26A, signal peptidase I, serine active site
68	IPR019757	Active_site	Peptidase S26A, signal peptidase I, lysine active site
69	IPR019772	Active_site	Ferrochelatase, active site
70	IPR019779	Active_site	Galactose-1-phosphate uridyl transferase, class I His-active site
71	IPR019794	Active_site	Peroxidase, active site
72	IPR019796	Active_site	Glucose-6-phosphate dehydrogenase, active site
73	IPR019800	Active_site	Glycoside hydrolase, family 3, active site
74	IPR019810	Active_site	Citrate synthase active site
75	IPR019826	Active_site	Carboxylesterase type B, active site
76	IPR020003	Active_site	ATPase, alpha/beta subunit, nucleotide-binding domain, active site
77	IPR020548	Active_site	Fructose-1,6-bisphosphatase, active site
78	IPR020610	Active_site	Thiolase, active site
79	IPR020615	Active_site	Thiolase, acyl-enzyme intermediate active site
80	IPR020625	Active_site	Schiff base-forming aldolase, active site
81	IPR020827	Active_site	Asparaginase/glutaminase, active site 1
82	IPR020830	Active_site	Glyceraldehyde 3-phosphate dehydrogenase, active site
83	IPR020861	Active_site	Triosephosphate isomerase, active site
84	IPR020878	Active_site	Ribulose bisphosphate carboxylase, large chain, active site
85	IPR020940	Active_site	Thymidylate synthase, active site
86	IPR022313	Active_site	Phenylalanine/histidine ammonia-lyases, active site
87	IPR022398	Active_site	Peptidase S8, subtilisin, His-active site
88	IPR022415	Active_site	ATP:guanido phosphotransferase active site
89	IPR022469	Active_site	6-pyruvoyl tetrahydropterin synthase, histidine active site
